,LAT,LON,Elevation
0,45.60158469,11.90355081,25.0
1,45.37100479,11.84082978,8.0
2,45.04582512,12.06086934,-1.0
3,45.10407489,11.55324086,7.0
4,45.03875842,11.79015164,2.0
5,45.88973369,12.30712448,60.0
6,45.67172072,12.23780698,14.0
7,45.6290925,12.59068235,-3.0
8,45.49961805,12.26124917,-5.0
9,45.42842368,12.3129303,1.0
10,45.75927327,11.73585212,114.0
11,45.7135591,11.3676575,188.0
12,45.55956112,11.53865377,37.0
13,45.18262647,11.31051146,13.0
14,45.43340536,11.03056877,47.0
15,45.69042908,9.484260928,266.0
16,45.61924378,8.756970445,217.0
17,45.41277169,10.68335734,104.0
18,45.04650154,11.18093582,12.0
19,45.01687782,11.07609463,12.0
20,45.47899606,9.235491038,119.0
21,45.28193561,8.754334595,110.0
22,45.30360787,8.84480461,109.0
23,45.3027835,9.495273697,76.0
24,45.23349364,9.666250375,64.0
25,45.64970251,9.601223339,204.0
26,45.15046887,9.930596472,49.0
27,45.6012322,9.275072658,180.0
28,45.10276628,8.904174528,86.0
29,45.5086668,10.25637025,124.0
30,45.54264789,10.21120522,151.0
31,45.51303882,10.19194189,119.0
32,45.49631644,9.190933555,133.0
33,45.53476577,9.236107923,147.0
34,45.52342566,9.044599871,154.0
35,45.52655087,8.736496578,142.0
36,45.46334674,9.195324808,127.0
37,45.55232579,9.227764233,152.0
38,45.48363035,9.327360033,121.0
39,45.44385765,9.167944502,118.0
40,45.66176219,9.156643985,223.0
41,45.55104194,9.162613653,154.0
42,45.2819562,8.988562727,97.0
43,45.46241579,8.880210433,136.0
44,45.54851736,8.847321929,183.0
45,45.62735705,9.02640138,213.0
46,45.73083672,9.125734327,339.0
47,45.69795199,9.406190939,277.0
48,45.69103741,9.643650579,234.0
49,45.69568034,9.661249146,252.0
50,45.71629992,10.044766,294.0
51,45.51933498,9.592009995,128.0
52,45.63386451,9.556084256,186.0
53,45.62055568,9.611737822,179.0
54,45.0819867,9.700788177,45.0
55,45.30601299,9.485262863,80.0
56,45.330361,9.414644727,82.0
57,45.39619463,9.282700076,99.0
58,45.30950227,9.585790416,60.0
59,45.1593728,9.698148249,61.0
60,45.27848755,10.00620239,56.0
61,45.36630908,9.703945514,75.0
62,45.28397715,9.86339842,65.0
63,45.1946761,9.164638301,79.0
64,45.53952943,10.23178591,147.0
65,45.24954362,10.2991195,45.0
66,45.46375314,10.48077204,180.0
67,45.51570829,10.33624042,153.0
68,45.14526013,10.80332595,22.0
69,44.92469405,10.51750207,25.0
70,45.16056833,10.79556411,20.0
71,45.04007657,8.914144599,74.0
72,44.99954599,9.008437382,92.0
73,45.58026348,9.273573093,164.0
74,45.49822713,9.556232262,107.0
75,45.14254063,10.04383616,45.0
76,45.84220726,9.351658166,250.0
77,45.11350314,8.874064849,86.0
78,45.52647255,9.515980484,133.0
